source	event	target	note
AckSent	RCN	AckSent	actions=irc,scr; cell=8/RCN irc,scr/8 -> 8
AckSent	RTR	ReqSent	actions=sta; cell=8/RTR sta/6 -> 6
AckSent	RTA	AckSent	cell=8/RTA 8 -> 8
AckSent	RUC	AckSent	actions=scj; cell=8/RUC scj/8 -> 8
AckSent	RXJ+	AckSent	cell=8/RXJ+ 8 -> 8
AckSent	RXJ-	Stopped	actions=tlf; cell=8/RXJ- tlf/3 -> 3
AckSent	RXR	AckSent	cell=8/RXR 8 -> 8

Opened	Down	Starting	actions=tld; cell=9/Down tld/1 -> 1
Opened	Open	Opened	footnote=[r]; cell=9/Open 9r -> 9
Opened	Close	Closing	actions=tld,irc,str; cell=9/Close tld,irc,str/4 -> 4
Opened	RCR+	AckSent	actions=tld,scr,sca; cell=9/RCR+ tld,scr,sca/8 -> 8
Opened	RCR-	ReqSent	actions=tld,scr,scn; cell=9/RCR- tld,scr,scn/6 -> 6
Opened	RCA	ReqSent	actions=tld,scr; footnote=[x]; cell=9/RCA tld,scr/6x -> 6
Opened	RCN	ReqSent	actions=tld,scr; footnote=[x]; cell=9/RCN tld,scr/6x -> 6
Opened	RTR	Stopping	actions=tld,zrc,sta; cell=9/RTR tld,zrc,sta/5 -> 5
Opened	RTA	ReqSent	actions=tld,scr; cell=9/RTA tld,scr/6 -> 6
Opened	RUC	Opened	actions=scj; cell=9/RUC scj/9 -> 9
Opened	RXJ+	Opened	cell=9/RXJ+ 9 -> 9
Opened	RXJ-	Stopping	actions=tld,irc,str; cell=9/RXJ- tld,irc,str/5 -> 5
Opened	RXR	Opened	actions=ser; cell=9/RXR ser/9 -> 9
